video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
y5B5sxJYEOI,@ranusutawirya2352,jagung perkilo juga mahal bossss,0,2023-10-23T23:27:54Z,hidroponik,2023,jagung perkilo juga mahal bossss,"jagung, perkilo, juga, mahal, bossss","jagung, perkilo, mahal, bossss","jagung, kilo, mahal, bossss",biaya awal hidroponik
y5B5sxJYEOI,@alifrosyid4162,disana jagung jauh lebih murah dari harga di indonesia lho indinesia tetep tanem enak tanam rumput dan pagar tanaman hidup buat bank pakan ngg ada musim salju aman,0,2023-10-23T23:09:07Z,hidroponik,2023,disana jagung jauh lebih murah dari harga di indonesia lho indinesia tetep tanem enak tanam rumput dan pagar tanaman hidup buat bank pakan ngg ada musim salju aman,"disana, jagung, jauh, lebih, murah, dari, harga, di, indonesia, lho, indinesia, tetep, tanem, enak, tanam, rumput, dan, pagar, tanaman, hidup, buat, bank, pakan, ngg, ada, musim, salju, aman","disana, jagung, murah, harga, indonesia, lho, indinesia, tetep, tanem, enak, tanam, rumput, pagar, tanaman, hidup, bank, pakan, ngg, musim, salju, aman","sana, jagung, murah, harga, indonesia, lho, indinesia, tetep, tanem, enak, tanam, rumput, pagar, tanam, hidup, bank, pakan, g, musim, salju, aman","biaya awal hidroponik, kompleksitas perawatan"
y5B5sxJYEOI,@zorojuro2354,gk cocok harga nya,0,2023-10-23T22:37:14Z,hidroponik,2023,gk cocok harga nya,"gk, cocok, harga, nya","gk, cocok, harga, nya","gk, cocok, harga, ",biaya awal hidroponik
y5B5sxJYEOI,@kokermjk3898,kita harus mencontoh india bisa memproduksi alat sendiri,2,2023-10-23T21:32:18Z,hidroponik,2023,kita harus mencontoh india bisa memproduksi alat sendiri,"kita, harus, mencontoh, india, bisa, memproduksi, alat, sendiri","mencontoh, india, memproduksi, alat","contoh, india, produksi, alat",biaya awal hidroponik
y5B5sxJYEOI,@yusufsultan8720,mahal itu yang murah mah pake daun kangkung,0,2023-10-23T17:19:06Z,hidroponik,2023,mahal itu yang murah mah pake daun kangkung,"mahal, itu, yang, murah, mah, pake, daun, kangkung","mahal, murah, mah, pake, daun, kangkung","mahal, murah, mah, pake, daun, kangkung",biaya awal hidroponik
y5B5sxJYEOI,@fina2505,hidroponik fooder itu mayoritas bahannya biji gandum jagung atau kedelai ketiga bahan itu termasuk bahan konsumsi dan bahan mahal untuk ternak di indonesia,426,2023-10-23T14:39:45Z,hidroponik,2023,hidroponik fooder itu mayoritas bahannya biji gandum jagung atau kedelai ketiga bahan itu termasuk bahan konsumsi dan bahan mahal untuk ternak di indonesia,"hidroponik, fooder, itu, mayoritas, bahannya, biji, gandum, jagung, atau, kedelai, ketiga, bahan, itu, termasuk, bahan, konsumsi, dan, bahan, mahal, untuk, ternak, di, indonesia","hidroponik, fooder, mayoritas, bahannya, biji, gandum, jagung, kedelai, ketiga, bahan, bahan, konsumsi, bahan, mahal, ternak, indonesia","hidroponik, fooder, mayoritas, bahan, biji, gandum, jagung, dai, tiga, bahan, bahan, konsumsi, bahan, mahal, ternak, indonesia",biaya awal hidroponik
y5B5sxJYEOI,@umargunawan5181,cari pakan yang melimpah bagus mudah praktis murah kalo perlu gratis makanan manusia jangan dijadikan pakan ternak,3,2023-10-23T09:38:36Z,hidroponik,2023,cari pakan yang melimpah bagus mudah praktis murah kalo perlu gratis makanan manusia jangan dijadikan pakan ternak,"cari, pakan, yang, melimpah, bagus, mudah, praktis, murah, kalo, perlu, gratis, makanan, manusia, jangan, dijadikan, pakan, ternak","cari, pakan, melimpah, bagus, mudah, praktis, murah, kalo, gratis, makanan, manusia, dijadikan, pakan, ternak","cari, pakan, limpah, bagus, mudah, praktis, murah, kalo, gratis, makan, manusia, jadi, pakan, ternak","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
y5B5sxJYEOI,@zaenalmutofa8163,gak sebanding dengan harga ternak konyol sekali,0,2023-10-23T03:25:32Z,hidroponik,2023,gak sebanding dengan harga ternak konyol sekali,"gak, sebanding, dengan, harga, ternak, konyol, sekali","gak, sebanding, harga, ternak, konyol","gak, banding, harga, ternak, konyol",biaya awal hidroponik
y5B5sxJYEOI,@anonim99852,masalahnya biji bwt bibit itu mahal,0,2023-10-23T01:00:41Z,hidroponik,2023,masalahnya biji bwt bibit itu mahal,"masalahnya, biji, bwt, bibit, itu, mahal","biji, bwt, bibit, mahal","biji, bwt, bibit, mahal","biaya awal hidroponik, kompleksitas perawatan"
y5B5sxJYEOI,@ekoprayogi7497,sesuai lah disana harga daging mahal pengeluaran sesuai sama hasil pemasukan,4,2023-10-23T00:44:23Z,hidroponik,2023,sesuai lah disana harga daging mahal pengeluaran sesuai sama hasil pemasukan,"sesuai, lah, disana, harga, daging, mahal, pengeluaran, sesuai, sama, hasil, pemasukan","sesuai, disana, harga, daging, mahal, pengeluaran, sesuai, hasil, pemasukan","sesuai, sana, harga, daging, mahal, keluar, sesuai, hasil, pasu","biaya awal hidroponik, keuntungan hidroponik"
